
============================================================
Translating to: Simplified Chinese (zh)
============================================================
Total unique strings: 320,731
Already translated:   6,400
Pending:              314,331
Will translate:       314,331
  Consensus tier:    125,298 strings (dual-engine + verification)
  Single-pass tier:  189,033 strings (fast, 1 engine)
Total batches: 5496 (2363 single@80, 3133 consensus@40)
Concurrency: 4

Phase 1: Single-pass tier (2363 batches)...
  [19.8%] Batch 1090/5496 | 93,557 done | 100.0% high-conf | 0 verified | 43 err | 8111s elapsed | ~32786s ETA
  [20.0%] Batch 1100/5496 | 94,357 done | 100.0% high-conf | 0 verified | 43 err | 8189s elapsed | ~32726s ETA
  [20.2%] Batch 1110/5496 | 95,157 done | 100.0% high-conf | 0 verified | 43 err | 8307s elapsed | ~32825s ETA
  [20.4%] Batch 1120/5496 | 95,957 done | 100.0% high-conf | 0 verified | 43 err | 8407s elapsed | ~32848s ETA
  [20.6%] Batch 1130/5496 | 96,757 done | 100.0% high-conf | 0 verified | 43 err | 8552s elapsed | ~33042s ETA
  [20.7%] Batch 1140/5496 | 97,557 done | 100.0% high-conf | 0 verified | 43 err | 8635s elapsed | ~32996s ETA
  [20.9%] Batch 1150/5496 | 98,357 done | 100.0% high-conf | 0 verified | 43 err | 8725s elapsed | ~32973s ETA
  [21.1%] Batch 1160/5496 | 99,157 done | 100.0% high-conf | 0 verified | 43 err | 8800s elapsed | ~32893s ETA
  [21.3%] Batch 1170/5496 | 99,957 done | 100.0% high-conf | 0 verified | 43 err | 8898s elapsed | ~32898s ETA
  [21.5%] Batch 1180/5496 | 100,757 done | 100.0% high-conf | 0 verified | 43 err | 8969s elapsed | ~32805s ETA
  [21.7%] Batch 1190/5496 | 101,557 done | 100.0% high-conf | 0 verified | 43 err | 9051s elapsed | ~32752s ETA
  [21.8%] Batch 1200/5496 | 102,357 done | 100.0% high-conf | 0 verified | 43 err | 9124s elapsed | ~32665s ETA
  [22.0%] Batch 1210/5496 | 103,157 done | 100.0% high-conf | 0 verified | 43 err | 9192s elapsed | ~32560s ETA
  [22.2%] Batch 1220/5496 | 103,957 done | 100.0% high-conf | 0 verified | 43 err | 9260s elapsed | ~32455s ETA
  [22.4%] Batch 1230/5496 | 104,757 done | 100.0% high-conf | 0 verified | 43 err | 9304s elapsed | ~32268s ETA
  [22.6%] Batch 1240/5496 | 105,557 done | 100.0% high-conf | 0 verified | 43 err | 9354s elapsed | ~32105s ETA
  [22.7%] Batch 1250/5496 | 106,357 done | 100.0% high-conf | 0 verified | 43 err | 9399s elapsed | ~31925s ETA
  [22.9%] Batch 1260/5496 | 107,157 done | 100.0% high-conf | 0 verified | 43 err | 9447s elapsed | ~31760s ETA
  [23.1%] Batch 1270/5496 | 107,957 done | 100.0% high-conf | 0 verified | 43 err | 9496s elapsed | ~31598s ETA
  [23.3%] Batch 1280/5496 | 108,757 done | 100.0% high-conf | 0 verified | 43 err | 9542s elapsed | ~31427s ETA
  [23.5%] Batch 1290/5496 | 109,557 done | 100.0% high-conf | 0 verified | 43 err | 9608s elapsed | ~31328s ETA
  [23.7%] Batch 1300/5496 | 110,357 done | 100.0% high-conf | 0 verified | 43 err | 9666s elapsed | ~31200s ETA
  [23.8%] Batch 1310/5496 | 111,157 done | 100.0% high-conf | 0 verified | 43 err | 9723s elapsed | ~31071s ETA
  [24.0%] Batch 1320/5496 | 111,957 done | 100.0% high-conf | 0 verified | 43 err | 9786s elapsed | ~30959s ETA
  [24.2%] Batch 1330/5496 | 112,757 done | 100.0% high-conf | 0 verified | 43 err | 9860s elapsed | ~30886s ETA
  [24.4%] Batch 1340/5496 | 113,557 done | 100.0% high-conf | 0 verified | 43 err | 9906s elapsed | ~30724s ETA
  [24.6%] Batch 1350/5496 | 114,357 done | 100.0% high-conf | 0 verified | 43 err | 9965s elapsed | ~30604s ETA
